#,Name,Address,Atoll,Island,District,Rooms,Beds,Phone,Fax,Email,Website,Operator,Owner/Lesse
1,11One Ocean,"Soft Coral, Kurikeela Magu",Vaavu,Fulidhoo,,4,8,7774498 / 7331176,,loneeagle4498@gmail.com,,"11One Ocean (SP)
Mariyam Faruhadha Waheed 
Bulaashanmaage
Fulidhoo, Vaavu Atoll
Republic of Maldives","Aishath Irshada Abdul Shakoor 
Sun Beam 
Fulidhoo, Vaavu Atoll
Republic of Maldives"
2,2020 Sandhaa,"Sandha, Dhunburi Magu",Shaviyani,Milandhoo,,3,6,7914888,,2020sandha@gmail.com,,"My Tailor (SP)
Mohamed Nazim Moosa
Sandha
Milandhoo, Shaviyani Atoll
Republic of Maldives","Mohamed Nazim Moosa 
Sandha
Milandhoo, Shaviyani Atoll
Republic of Maldives"
3,Aagali Beach,Vaagali Soasun Magu,Vaavu,Fulidhoo,,4,8,9101188,,aagalibeach@gmail.com,http://www.aagalibeach.com/,"Aagali Pvt Ltd 
Vaagali 
Fulidhoo, Vaavu Atoll 
Republic of Maldives","Mohamed Waheed 
Vaagali 
Fulidhoo, Vaavu Atoll 
Republic of Maldives"
4,Aariyaa View,Dhoodigan. Aariyaa,Gnaviyani,Fuvahmulah,,4,8,7781629,,,,"Ibrahim Abdulla Didi 
Dhoodigan. Aariyaa
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Ibrahim Abdulla Didi 
Dhoodigan. Aariyaa
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives"
5,Aasna Inn,Eureka,Kaafu,Thulusdhoo,,12,24,7938180,,aasnainn-maldives@gmail.com,,"Asna Inn Pvt Ltd 
Asnavilla
Nirolhu Magu No. 7
Hulhumale'
Male', Republic of Maldives","Khalid Gasim
Rosy
Thulusdhoo, Kaafu Atoll
Republic of Maldives"
6,Abuharee Grand,Afroaz,Seenu,Hithadhoo,,15,30,6883040,6883060,abuhareegrand@gmail.com,,"Abdulla Zuhair 
Abhareege, S. Hithadhoo
Addu City
Republic of Maldives","Abdulla Zuhair 
Abhareege, S. Hithadhoo
Addu City
Republic of Maldives"
7,Acacia Beach,"Hulhumale' Lot No.10402, Maziya",Kaafu,Male',Hulhumale',24,48,7706696,,admin@acacia.mv,www.acacia.mv,"Acacia Private Limited 
Hulhumale' Lot No.10402
Hirundhu Magu
Male', Republic of Maldives","Ibrahim Fayaz 
M. Reefside ge
Majeedhee Magu
Male', Republic of Maldives"
8,Acqua Blu Rasdhoo,Seagul,Alifu Alifu,Rasdhoo,,8,16,9528528,,acquablurasdhoo@gmail.com,www.acquablurasdhoo.com,"Local Touch Pvt Ltd
Blue Meed
Vaavu Magu
Rasdhoo, Alifu Alifu Atoll
Republic of Maldives","Abdulla Niyaz
Garden House
Rasdhoo, Alifu Alifu Atoll
Republic of Maldives"
9,Adroit Beach Inn,White House,Kaafu,Guraidhoo,,3,6,7776257,,AdroitBeachinn@hotmail.com,,"Adroit Investment 
Ashraf Mohamed
Hulhumale' Flat 128-1-04
Male', Republic of Maldives","Hassan Ramiz 
Neeloafaruge
Th. Guraidhoo
Republic of Maldives"
10,Ahiva Village,"Ocean Villa, Ghazee Hingun",Baa,Fulhadhoo,,12,24,"9365914
7783316",,info@ahivavillage.com,http://ahivavillage.com/,"BB CORP Pvt Ltd 
Fehige 
Ghaazee Hingun
Fulhadhoo, Baa Atoll
Republic of Maldives","Fareesha Abdul Raheem 
Valuge
Fulhadhoo, Baa Atoll
Republic of Maldives"
11,Akiri Grand,Manzil,Vaavu,Thinadhoo,,4,8,7944499,,akirigrand@gmail.com,,"Exbizz (SP)
Afrah Ibrahim
Manzil
Thinadhoo, Vaavu Atoll
Republic of Maldives","1. Ibrahim Rushdhee 
Manzil
Thinadhoo, Vaavu Atoll
Republic of Maldives
2. Maimoona Umar 
Manzil
Thinadhoo, Vaavu Atoll
Republic of Maldives"
12,Akiri Surf Retreat,Fias,Kaafu,Thulusdhoo,,3,6,9704149,,info@akiriholidays.com,www.akiriholidays.com,"Firushan Mohamed 
Dhethandimaage 
Nilandhoo, Gaafu Alifu Atoll
Republic of Maldives","Ali SIyaz 
Annaarumaage
Thulusdhoo, Kaafu Atoll
Republic of Maldives"
